  54  68  83  55  12  30  17  96  63  91  52  55  08  06  96  46  55  14  65  94
  52  40  12  89  38  24  88  89  40  86  66  61  11  33  77  46  97  06  16  24
  51  56  60  51  74  67  38  56  04  09  30  58  31  30  13  36  65  88  31  19
  25  25  18  32  14  62  44  65  96  52  12  88  99  57  76  98  62  63  21  72
  24  45  49  82  96  48  32  64  34  32  82  20  21  27  72  44  11  46  84  11
  93  28  03  75  10  20  39  33  32  88  04  79  55  85  26  36  09  32  61  17
  24  57  54  20  28  61  58  75  36  21  46  31  22  40  57  64  36  21  36  41
  37  88  89  92  89  44  93  45  76  63  46  82  62  17  09  43  91  49  59  56
  14  80  30  23  68  47  94  20  80  87  02  56  18  57  37  56  65  86  27  83
  57  72  98  07  27  09  58  97  06  60  06  66  62  59  85  36  63  54  83  60
  96  95  27  66  05  41  52  44  75  25  10  72  63  44  03  80  45  87  65  45
  21  15  77  33  43  47  14  68  23  22  42  52  86  70  46  06  21  33  88  61
  59  23  21  86  51  09  14  45  95  54  44  58  32  82  06  38  75  83  62  69
  92  56  39  13  05  89  48  60  38  81  55  61  07  94  83  47  32  51  52  92
  07  58  54  15  85  84  73  12  23  57  34  35  44  15  93  09  53  79  69  66
  77  79  06  51  57  05  74  31  63  03  14  65  55  04  10  37  78  89  09  30
  02  08  75  17  83  06  72  56  83  16  48  10  11  72  48  82  35  68  17  58
  55  47  40  56  69  39  71  35  58  19  25  26  76  23  88  09  92  17  95  25
  01  25  72  26  60  55  38  61  86  45  87  03  67  17  27  06  28  66  52  10
  20  41  64  76  63  42  22  61  10  65  31  29  57  84  76  29  37  73  79  41
  
