  47  21  47  23  59  20  88  54  83  52  29  71  80  85  41  20  53  65  68  68
  80  59  26  57  63  23  34  87  82  57  39  35  35  45  48  71  46  62  80  38
  46  69  86  23  75  85  37  75  46  76  87  80  61  41  45  53  43  28  77  83
  55  33  45  86  24  35  39  54  41  86  23  25  42  23  55  34  34  46  74  39
  36  65  35  26  31  43  41  36  60  30  60  51  29  57  74  79  29  35  23  69
  85  49  72  72  35  64  23  87  68  35  63  79  88  64  52  50  51  73  81  55
  62  82  62  86  49  30  78  24  31  62  25  20  81  79  66  85  31  22  58  48
  68  58  82  41  88  65  81  45  41  26  61  56  47  79  73  49  40  85  52  24
  32  21  57  79  79  56  87  46  71  32  53  39  77  29  24  86  41  20  39  88
  73  47  51  79  24  68  83  23  34  48  74  21  25  66  87  80  50  54  52  67
  21  68  70  65  47  38  45  66  36  75  83  70  44  50  80  79  55  66  88  75
  39  52  77  55  83  27  38  44  28  78  37  74  55  59  57  33  27  62  39  72
  80  38  60  69  46  39  74  32  23  60  84  24  88  76  85  61  39  66  24  27
  71  70  33  28  45  56  22  85  39  45  84  20  56  53  52  39  40  50  75  87
  53  79  54  72  43  38  78  78  62  80  43  41  73  41  48  56  88  42  57  67
  57  46  83  68  24  74  52  57  40  24  70  84  30  35  78  43  67  41  86  42
  48  88  63  75  85  51  67  63  57  67  79  53  40  73  44  78  27  25  78  22
  84  75  88  44  75  83  62  55  31  23  29  62  83  62  21  78  69  57  28  37
  64  67  58  88  30  38  76  64  57  80  42  72  56  73  76  78  75  69  85  72
  35  74  59  79  71  20  86  24  84  56  53  84  36  72  48  39  49  40  43  80
